Customer_ID,Age,Gender,Employment_Status,Annual_Income,Dependents,Policy_Type,Policy_Duration,Premium_Amount,Coverage_Amount,Claim_Amount,Past_Claims,Time_Since_Last_Claim,Documents_Submitted,Fraud_Risk,Claim_Approval
113,34,Male,Employed,102789,1,Property,4,8084,304501,81672,8,96,6,Low,1
114,25,Male,Self-Employed,125217,4,Health,19,13878,129464,69900,9,102,6,Low,1
115,52,Male,Self-Employed,158721,0,Life,11,15155,368611,10066,7,71,8,Low,1
116,52,Male,Employed,180074,4,Health,15,12017,91480,52997,9,47,5,Medium,1
117,50,Female,Employed,54723,3,Life,16,1823,268958,91094,9,64,8,Low,1
118,22,Male,Employed,94314,1,Auto,6,16721,375363,60347,7,18,1,Medium,0
119,59,Female,Retired,110312,4,Property,12,9950,188183,92853,7,89,2,Medium,0
120,56,Female,Self-Employed,31809,0,Life,8,2534,113863,38786,4,36,8,Low,1
121,58,Male,Self-Employed,159374,0,Auto,10,6466,372081,26463,3,57,1,Low,0
122,45,Female,Self-Employed,28100,4,Auto,11,17083,333357,99572,9,54,5,Low,1
123,24,Male,Unemployed,97627,4,Property,9,2205,342361,74158,2,52,5,Low,1
124,26,Male,Employed,94635,3,Health,17,18952,493405,37177,1,46,2,Medium,0
125,25,Male,Employed,75020,1,Auto,14,4258,236171,54029,9,2,2,Medium,0
126,29,Female,Employed,25663,2,Health,3,19727,386311,80283,4,87,1,Low,0
127,51,Male,Retired,115440,3,Health,9,2696,78282,89038,7,85,4,Low,0
128,50,Male,Self-Employed,195721,3,Health,18,2633,468423,13374,4,61,6,Low,1
129,65,Male,Employed,67136,3,Life,17,13913,78821,95558,6,0,3,Low,0
130,40,Female,Retired,126602,0,Health,5,3078,78786,62249,4,38,4,Low,1
131,41,Male,Employed,56104,4,Health,6,14439,57099,37263,9,72,8,Low,1
132,54,Female,Unemployed,59137,1,Auto,3,19481,397642,88717,8,32,2,Low,0
133,52,Female,Self-Employed,153606,0,Property,16,1313,116301,27408,7,22,9,High,0
134,61,Male,Retired,87762,3,Life,15,7051,230188,84174,7,33,6,Low,1
135,57,Female,Employed,160657,1,Health,8,2127,143724,62316,0,48,9,Medium,1
136,39,Female,Self-Employed,96438,0,Property,9,4092,335693,39591,4,48,1,Medium,0
137,44,Male,Retired,56392,2,Health,4,3080,56214,26143,8,98,4,Low,1
138,52,Male,Self-Employed,104267,3,Health,13,4432,409787,21694,7,48,7,Low,1
139,18,Male,Self-Employed,182198,0,Auto,3,8987,287637,66535,0,9,9,High,0
140,52,Female,Unemployed,62485,0,Property,7,7613,151794,45730,8,95,1,Low,0
141,54,Male,Self-Employed,65798,3,Auto,16,3751,244301,45639,9,65,1,Low,0
142,64,Female,Retired,160089,2,Auto,17,16759,175604,14044,0,70,3,Low,1
143,31,Female,Self-Employed,176772,4,Health,17,18038,162643,22158,4,87,6,Low,1
144,20,Female,Retired,110680,2,Health,19,17416,376029,13239,9,66,5,High,0
145,18,Female,Self-Employed,115446,3,Health,17,5627,207372,74721,0,118,5,Medium,1
146,22,Female,Employed,187579,4,Property,2,1387,426197,75550,7,75,9,Low,1
147,43,Male,Unemployed,198751,0,Property,5,19809,492224,47026,1,38,3,Low,1
148,31,Male,Employed,109938,2,Property,16,19316,341927,13237,5,41,5,Low,1
149,56,Female,Unemployed,57232,2,Property,11,4097,362716,51946,1,99,7,Low,1
150,44,Female,Retired,175092,4,Health,6,15383,88071,29660,1,90,2,Low,0
151,26,Male,Unemployed,117239,0,Health,11,6025,205979,3183,0,0,7,High,0
152,32,Male,Self-Employed,77172,2,Auto,1,11112,419400,23222,5,45,1,Low,0
153,32,Female,Self-Employed,117305,4,Health,19,3980,155564,5856,4,35,7,Medium,1
154,43,Female,Employed,164818,2,Property,3,15798,330087,44261,3,95,2,Low,0
155,59,Male,Unemployed,24094,0,Life,8,8903,197709,83248,3,90,7,Low,1
156,30,Male,Retired,88466,0,Health,18,19556,300913,11009,8,43,3,High,0
157,68,Female,Retired,119067,1,Property,13,4532,490333,61916,1,30,5,Low,1
158,49,Male,Self-Employed,50755,4,Auto,1,11774,457002,98951,9,96,9,Low,1
159,56,Male,Retired,162624,3,Health,17,13123,468628,7407,6,109,1,Low,0
160,66,Female,Self-Employed,170851,2,Life,5,14151,378935,37710,4,57,6,Low,1
161,69,Female,Self-Employed,49000,0,Property,12,7925,206014,62812,9,95,7,Medium,1
162,49,Female,Self-Employed,77564,2,Health,11,13392,122520,38947,8,3,9,Low,1
163,21,Male,Employed,165174,2,Property,18,17179,213151,35783,3,52,4,Low,1
164,47,Female,Employed,152933,3,Life,8,8224,286492,26355,5,88,9,Low,1
165,54,Male,Self-Employed,63574,0,Life,13,16809,276677,45491,1,102,1,Medium,0
166,40,Female,Self-Employed,183754,1,Auto,2,4983,404638,42658,0,92,4,Low,1
167,56,Female,Self-Employed,98819,4,Life,16,14613,478963,59313,0,56,6,Low,1
168,62,Male,Retired,111133,2,Health,12,1996,231848,65417,3,72,7,Low,1
169,32,Male,Self-Employed,97972,3,Life,8,11771,417951,12640,8,77,1,Medium,0
170,60,Female,Self-Employed,141237,3,Health,4,18451,193667,12677,2,119,1,Low,0
171,46,Female,Unemployed,113960,4,Health,14,2475,249989,49606,2,49,9,Low,1
172,53,Male,Unemployed,94426,4,Property,9,4632,219899,58509,6,4,7,Low,1
173,30,Female,Unemployed,199192,0,Health,11,7898,284014,32896,7,51,9,Low,1
174,49,Male,Unemployed,58297,2,Health,16,4778,477502,50852,5,16,5,Low,1
175,24,Male,Self-Employed,134147,2,Auto,6,15127,356596,65728,0,31,9,Low,1
176,68,Female,Unemployed,28299,4,Property,12,8425,106672,23867,5,5,5,Medium,1
177,39,Male,Retired,192420,1,Health,19,14333,387939,58552,7,68,6,Low,1
178,45,Male,Retired,61384,2,Auto,16,4665,457129,64539,4,92,8,Low,1
179,19,Male,Unemployed,137182,3,Property,13,17347,88306,4269,7,91,9,Medium,1
180,59,Female,Employed,96693,4,Life,4,12978,414775,80395,0,60,3,Low,1
181,62,Male,Retired,52687,2,Health,12,1429,39510,53328,3,9,2,Low,0
182,23,Female,Retired,80047,0,Life,4,18770,48828,59259,8,22,5,Medium,0
183,45,Female,Unemployed,161263,4,Property,17,8173,255865,15297,9,112,6,Low,1
184,45,Female,Unemployed,74911,3,Property,14,8171,374126,16719,4,52,8,Medium,1
185,61,Male,Self-Employed,97303,0,Auto,17,8418,252896,90009,9,60,4,Low,1
186,61,Male,Retired,114165,4,Health,1,4411,85434,13811,9,18,1,Medium,0
187,37,Female,Unemployed,120330,4,Health,1,14702,322086,63941,2,3,4,Low,1
188,47,Female,Unemployed,112480,2,Auto,2,4912,91710,29885,2,45,8,Low,1
189,28,Male,Self-Employed,194798,0,Life,17,1217,281147,35263,8,31,2,Low,0
190,45,Female,Retired,54623,4,Property,1,6865,326241,67626,0,83,8,Low,1
191,42,Female,Unemployed,133219,3,Auto,12,17541,198585,58512,5,45,4,Low,1
192,56,Male,Self-Employed,143089,0,Property,13,1712,229915,95220,5,61,2,Low,0
193,50,Female,Unemployed,70000,2,Life,14,6935,57613,59084,9,91,4,Low,0
194,18,Male,Employed,91494,1,Life,10,15784,342125,62397,7,53,1,Low,0
195,44,Male,Employed,116172,4,Life,12,1257,466355,25737,7,99,7,Low,1
196,69,Female,Unemployed,62876,1,Health,18,7402,154974,81486,0,86,3,High,0
197,30,Male,Retired,138217,4,Property,7,6036,213217,42567,6,66,4,Medium,1
198,58,Male,Employed,110688,2,Property,19,14771,491240,50879,9,23,3,High,0
199,20,Male,Self-Employed,124065,2,Auto,15,6072,110236,45744,0,65,8,Low,1
200,56,Female,Unemployed,86224,2,Property,7,12367,290279,89983,7,17,3,Medium,1
201,23,Female,Self-Employed,45365,2,Health,14,5625,228192,45745,4,112,7,Low,1
202,25,Female,Employed,49663,0,Auto,9,15992,329936,46858,1,95,2,Low,0
203,44,Male,Retired,124610,0,Life,5,5593,281460,97019,2,47,9,Low,1
204,26,Male,Self-Employed,123376,4,Property,1,15348,142464,30743,8,45,6,Low,1
205,54,Female,Employed,103275,0,Health,16,582,421418,32274,1,47,3,Low,1
206,50,Female,Employed,143229,4,Health,5,8466,142755,75819,3,61,8,Low,1
207,68,Male,Employed,161981,0,Property,8,18284,87329,56529,6,111,8,Low,1
208,59,Female,Self-Employed,80883,0,Health,19,17542,36431,92134,7,93,6,Low,0
209,61,Female,Employed,32713,0,Life,12,14099,449036,43694,2,101,4,High,0
210,41,Female,Unemployed,163686,3,Property,8,11564,347160,4766,9,26,3,Low,1
211,32,Female,Employed,118097,2,Property,8,18221,274393,82105,9,61,9,Low,1
212,49,Female,Unemployed,40734,3,Property,6,14989,412549,17537,8,101,5,Low,1
213,49,Male,Retired,181781,0,Auto,9,15395,383882,97414,7,101,4,Low,1
214,41,Female,Unemployed,173957,0,Life,2,11916,256808,54429,5,77,9,Medium,1
215,58,Female,Retired,91622,3,Health,18,9385,53376,51359,7,64,7,Low,1
216,69,Male,Retired,98267,4,Property,1,4827,219280,3615,9,51,3,Medium,1
217,66,Male,Unemployed,164413,2,Property,11,12219,163146,71855,7,0,6,Low,1
218,66,Male,Retired,59435,4,Health,15,14738,491187,90133,2,49,8,Low,1
219,69,Male,Unemployed,32976,2,Life,12,11371,397345,98999,6,39,5,Low,1
220,29,Female,Self-Employed,102910,1,Health,3,1363,377662,97595,7,71,2,Low,0
221,56,Female,Retired,156362,2,Health,19,18133,172126,36657,5,16,8,Low,1
222,19,Female,Unemployed,150177,4,Property,19,14435,459952,9900,5,0,2,Low,0
223,20,Female,Retired,65812,2,Auto,10,9910,391461,16855,6,77,1,Low,0
224,66,Male,Employed,131841,1,Auto,16,7861,249959,13810,3,106,5,Medium,1
225,54,Male,Unemployed,199509,1,Auto,6,15878,152656,39770,9,107,5,Low,1
226,66,Female,Employed,77907,0,Auto,9,19786,301978,41933,9,76,1,Medium,0
227,34,Female,Retired,140992,1,Auto,8,5306,374650,97486,8,29,6,Medium,1
228,66,Female,Retired,101876,3,Property,16,5883,428713,53309,2,76,7,Medium,1
229,19,Female,Self-Employed,199795,4,Auto,8,14326,73833,97074,6,66,9,High,0
230,19,Male,Unemployed,55655,3,Health,18,10186,330197,94329,8,118,9,Low,1
231,45,Female,Employed,43997,3,Property,5,15074,178928,13241,7,21,2,Low,0
232,40,Male,Self-Employed,86876,4,Health,12,2836,403662,63110,6,34,8,Medium,1
233,54,Male,Retired,130233,3,Auto,6,17251,340189,25531,4,55,9,Low,1
234,49,Male,Retired,142660,3,Life,2,17295,414695,60709,1,13,4,Low,1
235,50,Male,Self-Employed,177085,3,Auto,4,19977,53813,28158,1,103,7,Low,1
236,18,Female,Employed,52862,1,Property,16,8534,214157,4645,3,44,5,Low,1
237,36,Female,Retired,72448,4,Health,14,17237,404288,35889,4,85,1,Low,0
238,19,Female,Retired,196680,4,Life,17,18222,447864,97784,3,32,8,Low,1
239,61,Female,Unemployed,104612,4,Life,19,17212,172448,36709,1,11,2,Low,0
240,43,Male,Self-Employed,138849,3,Life,4,10185,422728,21264,3,23,3,High,0
241,49,Male,Retired,134060,1,Health,18,8655,316701,77039,4,68,5,Low,1
242,23,Male,Employed,191966,4,Property,12,11521,262935,93976,3,56,7,Low,1
243,49,Female,Unemployed,82104,2,Life,2,1986,147911,50336,5,8,5,Low,1
244,21,Male,Self-Employed,59821,4,Health,6,8107,194342,87708,9,1,4,Low,1
245,28,Male,Employed,199012,0,Health,6,17621,396091,20389,6,58,2,Low,0
246,34,Male,Retired,162007,2,Auto,3,5867,230737,67265,4,94,1,Medium,0
247,55,Male,Self-Employed,32467,4,Health,8,4388,261650,88145,8,109,3,Low,1
248,41,Female,Self-Employed,162145,3,Property,12,13982,297156,13267,3,28,6,Low,1
249,22,Male,Employed,27691,4,Property,3,7392,162460,67102,9,92,9,Low,1
250,69,Male,Self-Employed,197610,1,Life,2,5343,125780,64624,1,117,9,Medium,1
251,51,Female,Employed,150115,1,Health,1,6791,305505,2311,9,99,5,Low,1
252,23,Female,Retired,175562,4,Health,18,3168,184592,21822,7,54,3,Medium,1
253,39,Female,Unemployed,35688,3,Auto,18,4738,23284,78151,3,93,3,Medium,0
254,28,Male,Employed,118505,3,Auto,8,4666,469028,8736,3,21,7,Low,1
255,65,Male,Unemployed,70650,3,Health,14,14740,424187,78828,2,118,7,Low,1
256,33,Male,Self-Employed,164901,4,Health,13,1137,280418,15198,8,84,3,Low,1
257,50,Male,Employed,154158,4,Health,15,3141,89973,67159,3,104,7,Low,1
258,26,Female,Retired,22590,0,Auto,15,12677,56305,41384,1,48,8,Medium,1
259,23,Male,Employed,190965,1,Auto,13,11638,312465,75225,0,11,3,Low,1
260,33,Male,Employed,93396,2,Property,4,9462,305379,39833,0,70,5,Low,1
261,46,Female,Employed,149797,2,Life,4,6302,90670,99110,7,88,8,Low,0
262,20,Female,Unemployed,189248,1,Life,5,8138,342940,74950,0,7,7,Low,1
263,37,Female,Unemployed,87484,0,Life,3,15490,206109,26528,4,96,1,High,0
264,53,Male,Self-Employed,146484,1,Life,12,19900,10997,19290,7,15,2,Low,0
265,36,Male,Self-Employed,122267,0,Auto,12,4210,372827,84080,6,39,6,Low,1
266,43,Male,Self-Employed,177367,0,Auto,7,16941,113352,52936,6,44,8,Medium,1
267,20,Male,Self-Employed,58131,3,Health,7,16965,445468,70370,7,63,5,Low,1
268,36,Male,Employed,195965,1,Property,1,6489,79631,23370,2,62,7,Low,1
269,37,Female,Unemployed,31924,2,Property,12,7007,281703,95745,4,50,7,Low,1
270,49,Female,Unemployed,124191,4,Life,3,18392,367351,91814,1,108,3,Low,1
271,24,Male,Unemployed,161923,4,Health,15,5665,317038,89865,4,9,1,High,0
272,69,Male,Unemployed,27734,1,Health,9,15304,263581,65517,4,75,6,Low,1
273,58,Male,Self-Employed,193753,4,Auto,9,4206,164481,39717,1,85,5,High,0
274,50,Male,Employed,140405,0,Health,14,4614,436077,95046,9,70,9,Low,1
275,57,Male,Unemployed,25293,4,Property,3,2817,215722,54979,5,44,1,High,0
276,56,Female,Retired,73203,0,Property,8,5172,468339,11452,0,84,5,Low,1
277,35,Female,Employed,164892,0,Health,6,14823,316245,42546,7,103,3,High,0
278,57,Female,Retired,87827,2,Auto,12,11603,213901,20253,0,55,6,Low,1
279,18,Male,Employed,198235,4,Property,2,15250,93829,78304,2,101,5,Low,1
280,28,Male,Employed,163463,2,Auto,3,14476,496782,16590,0,85,4,Low,1
281,45,Female,Employed,61970,4,Auto,14,18154,416715,84034,1,72,8,Medium,1
282,42,Female,Retired,197895,0,Property,17,4314,467209,61243,6,83,9,Low,1
283,67,Male,Unemployed,50796,4,Auto,3,14851,430421,22104,6,12,9,Low,1
284,40,Female,Unemployed,119345,2,Life,4,5215,492190,57659,4,63,1,Medium,0
285,48,Female,Retired,136245,3,Life,15,7146,41031,50764,4,114,9,Low,0
286,47,Male,Unemployed,103127,2,Life,7,16254,126567,12802,6,87,4,Low,1
287,59,Female,Self-Employed,56389,3,Health,19,10591,75469,44537,9,29,4,Low,1
288,52,Female,Unemployed,23352,1,Property,14,19115,331292,24761,9,104,9,Medium,1
289,24,Female,Self-Employed,142143,2,Life,16,9132,107900,51555,4,51,1,Low,0
290,33,Male,Self-Employed,179244,4,Auto,13,17464,250788,82930,7,113,5,Medium,1
291,43,Female,Self-Employed,162009,3,Life,17,875,408437,2997,2,53,8,Low,1
292,65,Female,Retired,113657,4,Auto,17,6077,108661,91027,1,56,5,Medium,1
293,69,Female,Unemployed,127276,3,Property,10,4301,118290,25146,9,17,8,Medium,1
294,66,Male,Unemployed,108672,2,Life,7,15947,397902,67090,3,24,5,Low,1
295,19,Male,Retired,174624,2,Property,17,6989,438202,42723,6,52,2,Medium,0
296,18,Female,Retired,165190,4,Life,12,1228,459900,5646,8,19,2,Low,0
297,65,Male,Unemployed,31290,2,Auto,11,11129,411122,47906,2,10,8,Medium,1
298,29,Female,Retired,45123,4,Auto,10,4775,446235,49792,2,39,3,Low,1
299,22,Male,Retired,72136,0,Health,8,2923,346950,60214,6,97,2,Medium,0
300,54,Male,Self-Employed,137278,3,Health,15,19260,329989,20539,0,22,1,Medium,0
301,49,Female,Retired,195088,4,Health,18,10660,137956,42296,6,89,4,Low,1
302,26,Female,Self-Employed,172499,3,Life,13,7133,409290,91166,1,86,3,Low,1
303,58,Female,Employed,22257,0,Property,16,2747,132613,12584,9,112,8,Low,1
304,52,Male,Self-Employed,87733,3,Life,13,11548,240261,84036,0,41,1,Low,0
305,36,Female,Self-Employed,159294,4,Auto,4,6074,139939,24378,9,46,5,Low,1
306,65,Male,Retired,176259,2,Property,11,6493,357003,37189,8,55,6,Medium,1
307,33,Male,Unemployed,171853,3,Auto,19,2412,100714,40320,0,32,1,Low,0
308,20,Female,Employed,145890,3,Health,8,19561,448596,31427,7,88,9,Low,1
309,37,Male,Employed,146682,0,Auto,10,10386,347836,30220,9,97,2,Medium,0
310,41,Female,Employed,162076,1,Life,12,5031,120390,47713,6,25,4,Low,1
311,50,Male,Unemployed,127178,2,Auto,11,2237,81354,22329,9,102,7,Low,1
312,41,Female,Employed,77600,4,Auto,4,6197,419418,21968,8,68,9,Medium,1
313,69,Male,Employed,176587,0,Auto,19,545,69888,65411,4,28,3,Medium,1
314,28,Male,Unemployed,100952,4,Property,10,7519,366667,45122,2,93,2,Low,0
315,66,Female,Employed,154257,4,Auto,15,6391,44492,93013,0,108,8,Low,0
316,25,Male,Retired,110888,3,Auto,13,2441,92091,3867,1,59,9,Low,1
317,53,Female,Retired,143611,0,Health,13,12157,154773,90942,5,90,2,Low,0
318,55,Male,Self-Employed,74476,0,Health,18,17845,309588,8402,7,36,3,Low,1
319,57,Male,Self-Employed,116279,2,Life,7,17828,289829,30251,8,116,6,Low,1
320,37,Male,Self-Employed,182284,1,Health,14,9970,334928,94407,7,24,3,Low,1
321,52,Female,Retired,112154,4,Auto,5,4419,26467,37055,1,106,6,Low,0
322,65,Female,Retired,142537,2,Health,9,6558,65383,83085,0,73,6,Low,0
